品种,品种编码,日期,市场,批发价_元公斤,是否江苏周边
活鳜鱼,AM01013003,2026-09-26,江苏凌家塘市场发展有限公司,76,True
活鳜鱼,AM01013003,2026-09-26,江西九江琵琶湖农产品物流有限公司,60,False
淡水鲈鱼,AM01009,2026-09-26,长治市紫坊农产品综合交易市场有限公司,33,False
淡水鲈鱼,AM01009,2026-09-26,马鞍山市安民农副产品贸易有限公司,22,True
鲈鱼(海水),AM02005,2026-09-26,龙门实业（集团）有限公司西三街农副水产品市场,45,False
鲈鱼(海水),AM02005,2026-09-26,北京朝阳区大洋路综合市场,31,False
鲈鱼(海水),AM02005,2026-09-26,青岛市城阳蔬菜水产品批发市场有限公司,56,False
鲈鱼(海水),AM02005,2026-09-26,山东滨州(六街）鲁北蔬菜批发市场,34,False
鲈鱼(海水),AM02005,2026-09-26,山东威海水产品批发市场,46,False
鲈鱼(海水),AM02005,2026-09-26,安徽合肥周谷堆农产品批发市场,21.5,True
鲈鱼(海水),AM02005,2026-09-26,江苏凌家塘市场发展有限公司,28,True
鲈鱼(海水),AM02005,2026-09-26,江苏苏州南环桥农副产品批发市场,23.5,True
鲈鱼(海水),AM02005,2026-09-26,河南万邦国际农产品物流股份有限公司,27,False
